Line	Treat	Place	Year	Hea	Height	Yield
Sca019	N	Irlbach	2004	72	55	56.3999
Sca019	T	Morgenrot	2004	71	92	78.288
Sca019	N	Morgenrot	2004	75	100	67.254
Sca020	T	Diko	2003	76	85	64
Sca020	N	Diko	2003	77	62	46.5
Sca020	T	Gudow	2003	76	92	52.375
Sca020	N	Gudow	2003	77	62	30.625
Sca020	T	Irlbach	2003	67	45	43.04029304
Sca020	N	Irlbach	2003	70	50	45.51282051
Sca020	T	Morgenrot	2003	75	88	61.482
Sca020	N	Morgenrot	2003	75	68	49.094
Sca020	T	Diko	2004	83	92	67.73
Sca020	N	Diko	2004	83	95	63.425
Sca020	T	Gudow	2004	75	90	53.78
Sca020	N	Gudow	2004	76	80	58.67
Sca020	T	Irlbach	2004	80	50	36.4402
Sca020	N	Irlbach	2004	77	65	50.174
Sca020	T	Morgenrot	2004	74	105	60.302
Sca020	N	Morgenrot	2004	75	108	46.786
Sca021	T	Diko	2003	75	85	75.2
Sca021	N	Diko	2003	76	75	67.5
Sca021	T	Gudow	2003	73	84	80.125
Sca021	N	Gudow	2003	75	65	59
Sca021	T	Irlbach	2003	67	50	51.0989011
Sca021	N	Irlbach	2003	67	45	54.3956044
Sca021	T	Morgenrot	2003	72	77	65.308
Sca021	N	Morgenrot	2003	75	60	67.728
Sca021	T	Diko	2004	79	90	88.2217
Sca021	N	Diko	2004	79	92	87.2583
Sca021	T	Gudow	2004	71	80	67.11
Sca021	N	Gudow	2004	73	96	72.78
Sca021	T	Irlbach	2004	73	60	61.161
Sca021	N	Irlbach	2004	72	65	74.5285
Sca021	T	Morgenrot	2004	72	96	88.624
Sca021	N	Morgenrot	2004	75	100	92.354
Sca022	T	Diko	2003	77	77	66.5333
Sca022	N	Diko	2003	77	73	51.6667
Sca022	T	Gudow	2003	76	90	55.625
Sca022	N	Gudow	2003	76	70	37.625
Sca022	T	Irlbach	2003	70	45	45.97069597
Sca022	N	Irlbach	2003	69	45	46.24542125
Sca022	T	Morgenrot	2003	72	85	33.806
Sca022	N	Morgenrot	2003	75	78	57.41
Sca022	T	Diko	2004	80	85	78.915
Sca022	N	Diko	2004	80	80	72.5483
Sca022	T	Gudow	2004	75	75	56.67
Sca022	N	Gudow	2004	76	81	67.33
Sca022	T	Irlbach	2004	78	50	33.9681
Sca022	N	Irlbach	2004	74	55	55.6675
Sca022	T	Morgenrot	2004	75	96	70.334
Sca022	N	Morgenrot	2004	75	94	76.794
Sca023	T	Diko	2003	75	80	70.35
Sca023	N	Diko	2003	75	73	57.6667
Sca023	T	Gudow	2003	74	82	71.375
Sca023	N	Gudow	2003	73	74	53.125
Sca023	T	Irlbach	2003	68	50	50
Sca023	N	Irlbach	2003	67	45	44.87179487
Sca023	T	Morgenrot	2003	73	78	65.586
Sca023	N	Morgenrot	2003	75	69	54.582
Sca023	T	Diko	2004	78	86	77.765
Sca023	N	Diko	2004	79	86	70.6683
Sca023	T	Gudow	2004	72	80	57
Sca023	N	Gudow	2004	74	82	64.22
Sca023	T	Irlbach	2004	76	50	45.596
Sca023	N	Irlbach	2004	73	55	67.57
Sca023	T	Morgenrot	2004	72	97	87.37
Sca023	N	Morgenrot	2004	75	98	73.746
Sca026	T	Diko	2003	70	100	58.2167
Sca026	N	Diko	2003	72	85	45.5
Sca026	T	Gudow	2003	71	104	50.125
Sca026	N	Gudow	2003	71	92	43.25
Sca026	T	Irlbach	2003	63	50	49.35897436
Sca026	N	Irlbach	2003	62	55	46.06227106
Sca026	T	Morgenrot	2003	70	104	52.132
Sca026	N	Morgenrot	2003	66	102	49.806
Sca026	T	Diko	2004	73	118.7	59.3383
Sca026	N	Diko	2004	74	112	54.8933
Sca026	T	Gudow	2004	68	102	49.67
Sca026	N	Gudow	2004	68	105	51.11
Sca026	T	Irlbach	2004	71	70	30.1227
Sca026	N	Irlbach	2004	68	85	39.4616
Sca026	T	Morgenrot	2004	67	113	45.546
Sca026	N	Morgenrot	2004	75	114	46.096
Sca027	T	Diko	2003	71	100	50.95
Sca027	N	Diko	2003	71	90	58.6667
Sca027	T	Gudow	2003	71	96	58.625
Sca027	N	Gudow	2003	71	84	47.5
Sca027	T	Irlbach	2003	62	60	43.04029304
Sca027	N	Irlbach	2003	63	60	44.87179487
Sca027	T	Morgenrot	2003	66	102	61.352
Sca027	N	Morgenrot	2003	65	110	53.91
Sca027	T	Diko	2004	73	112.3	53.3783
Sca027	N	Diko	2004	74	116	64.245
Sca027	T	Gudow	2004	68	100	47.22
Sca027	N	Gudow	2004	69	108	55
Sca027	T	Irlbach	2004	70	70	53.1038
Sca027	N	Irlbach	2004	67	80	57.3155
Sca027	T	Morgenrot	2004	67	106	64.05
Sca027	N	Morgenrot	2004	75	120	52.86
Sca028	T	Diko	2003	72	105	52.8333
Sca028	N	Diko	2003	73	95	48.5
Sca028	T	Gudow	2003	72	110	53.625
Sca028	N	Gudow	2003	72	88	47.125
Sca028	T	Irlbach	2003	64	50	38.003663
Sca028	N	Irlbach	2003	67	60	45.87912088
Sca028	T	Morgenrot	2003	66	98	58.12
Sca028	N	Morgenrot	2003	66	103	54.102
Sca028	T	Diko	2004	74	117.7	58.775
Sca028	N	Diko	2004	75	120	55.975
Sca028	T	Gudow	2004	69	103	47.78
Sca028	N	Gudow	2004	69	110	50.11
Sca028	T	Irlbach	2004	72	75	40.011
Sca028	N	Irlbach	2004	69	80	56.1253
Sca028	T	Morgenrot	2004	66	115	61.752
Sca028	N	Morgenrot	2004	75	119	54.242
Sca029	T	Diko	2003	72	95	57.5833
Sca029	N	Diko	2003	71	90	48.6667
Sca029	T	Gudow	2003	70	110	55.875
Sca029	N	Gudow	2003	71	98	40.125
Sca029	T	Irlbach	2003	62	60	40.84249084
Sca029	N	Irlbach	2003	64	60	44.96336996
Sca029	T	Morgenrot	2003	66	114	53.854
Sca029	N	Morgenrot	2003	67	107	51.232
Sca029	T	Diko	2004	75	118.3	53.8433
Sca029	N	Diko	2004	74	110	53.1967
Sca029	T	Gudow	2004	69	100	44.67
Sca029	N	Gudow	2004	70	110	47
Sca029	T	Irlbach	2004	67	70	34.7006
Sca029	N	Irlbach	2004	67	70	48.4344
Sca029	T	Morgenrot	2004	66	116	50.438
Sca029	N	Morgenrot	2004	75	111	49.678
Sca030	T	Diko	2003	73	105	57.55
Sca030	N	Diko	2003	72	87	46.6667
Sca030	T	Gudow	2003	71	106	36
Sca030	N	Gudow	2003	71	98	41.25
Sca030	T	Irlbach	2003	63	60	43.95604396
Sca030	N	Irlbach	2003	63	60	43.40659341
Sca030	T	Morgenrot	2003	68	98	44.804
Sca030	N	Morgenrot	2003	67	109	45.362
Sca030	T	Diko	2004	74	119.3	56.16
Sca030	N	Diko	2004	75	118.3	48.78
Sca030	T	Gudow	2004	69	105	46.44
Sca030	N	Gudow	2004	70	106	43.22
Sca030	T	Irlbach	2004	73	80	43.124
Sca030	N	Irlbach	2004	69	80	38.1798
Sca030	T	Morgenrot	2004	68	119	44.224
Sca030	N	Morgenrot	2004	75	111	47.41
Sca031	T	Diko	2003	72	105	60.0667
Sca031	N	Diko	2003	71	100	51.1667
Sca031	T	Gudow	2003	71	104	55.375
Sca031	N	Gudow	2003	71	88	48.75
Sca031	T	Irlbach	2003	63	60	45.6043956
Sca031	N	Irlbach	2003	63	65	53.2967033
Sca031	T	Morgenrot	2003	66	107	48.426
Sca031	N	Morgenrot	2003	65	110	48.976
Sca031	T	Diko	2004	73	122.3	57.63
Sca031	N	Diko	2004	75	123.3	57.625
Sca031	T	Gudow	2004	69	117	45.33
Sca031	N	Gudow	2004	70	112	51.78
Sca031	T	Irlbach	2004	69	75	42.3915
Sca031	N	Irlbach	2004	69	80	50.7233
Sca031	T	Morgenrot	2004	66	129	46.142
Sca031	N	Morgenrot	2004	75	116	45.814
Sca032	T	Diko	2003	75	90	74.1333
Sca032	N	Diko	2003	75	70	61.3333
Sca032	T	Gudow	2003	75	90	77.25
Sca032	N	Gudow	2003	76	72	52.5
Sca032	T	Irlbach	2003	70	50	50.27472527
Sca032	N	Irlbach	2003	67	50	51.19047619
Sca032	T	Morgenrot	2003	71	83	73.474
Sca032	N	Morgenrot	2003	75	83	72.06
Sca032	T	Diko	2004	80	95	76.7367
Sca032	N	Diko	2004	80	98	72.5433
Sca032	T	Gudow	2004	74	90	58.22
Sca032	N	Gudow	2004	75	110	66.56
Sca032	T	Irlbach	2004	77	65	58.3227
Sca032	N	Irlbach	2004	74	70	67.7532
Sca032	T	Morgenrot	2004	72	106	65.116
Sca032	N	Morgenrot	2004	75	105	62.132
Sca033	T	Diko	2003	76	80	67.6833
Sca033	N	Diko	2003	77	62	49.8333
Sca033	T	Gudow	2003	75	78	70.625
Sca033	N	Gudow	2003	76	62	53.75
Sca033	T	Irlbach	2003	69	50	44.13919414
Sca033	N	Irlbach	2003	69	50	49.90842491
Sca033	T	Morgenrot	2003	73	78	73.364
Sca033	N	Morgenrot	2003	75	65	55.638
Sca033	T	Diko	2004	80	85	70.4067
Sca033	N	Diko	2004	82	82	68.7217
Sca033	T	Gudow	2004	75	90	62.89
Sca033	N	Gudow	2004	76	82	68.56
Sca033	T	Irlbach	2004	78	60	58.4142
Sca033	N	Irlbach	2004	74	60	68.6687
Sca033	T	Morgenrot	2004	73	103	78.782
Sca033	N	Morgenrot	2004	75	94	76.972
Sca034	T	Diko	2003	77	80	70.9333
Sca034	N	Diko	2003	78	65	51.6667
Sca034	T	Gudow	2003	75	76	69.25
Sca034	N	Gudow	2003	77	64	58.625
Sca034	T	Irlbach	2003	68	50	42.67399267
Sca034	N	Irlbach	2003	70	45	52.01465201
Sca034	T	Morgenrot	2003	74	76	69.75
Sca034	N	Morgenrot	2003	75	77	65.358
Sca034	T	Diko	2004	80	90	82.8317
Sca034	N	Diko	2004	83	85	79.645
Sca034	T	Gudow	2004	74	92	66.67
Sca034	N	Gudow	2004	75	80	63.78
Sca034	T	Irlbach	2004	75	50	44.772
Sca034	N	Irlbach	2004	74	65	69.9506
Sca034	T	Morgenrot	2004	73	98	83.698
Sca034	N	Morgenrot	2004	75	98	92.236
Sca035	T	Diko	2003	75	84	69.5333
Sca035	N	Diko	2003	75	80	65.1667
Sca035	T	Gudow	2003	73	80	79.5
Sca035	N	Gudow	2003	73	70	61.625
Sca035	T	Irlbach	2003	67	45	52.93040293
Sca035	N	Irlbach	2003	66	50	58.33333333
Sca035	T	Morgenrot	2003	74	85	79.088
Sca035	N	Morgenrot	2003	75	80	74.174
Sca035	T	Diko	2004	78	93	83.975
Sca035	N	Diko	2004	80	86	76.825
Sca035	T	Gudow	2004	71	82	62.78
Sca035	N	Gudow	2004	72	98	68.56
Sca035	T	Irlbach	2004	76	65	63.8162
Sca035	N	Irlbach	2004	71	60	63.4499
Sca035	T	Morgenrot	2004	72	97	85.414
Sca035	N	Morgenrot	2004	75	97	85.79
Sca036	T	Diko	2003	77	80	70.5
Sca036	N	Diko	2003	75	70	58.3333
Sca036	T	Gudow	2003	75	78	74.875
Sca036	N	Gudow	2003	76	66	48.75
Sca036	T	Irlbach	2003	67	50	46.88644689
Sca036	N	Irlbach	2003	68	45	58.42490842
Sca036	T	Morgenrot	2003	74	73	70.244
Sca036	N	Morgenrot	2003	75	70	60.81
Sca036	T	Diko	2004	79	90	75.4
Sca036	N	Diko	2004	78	82	77.9183
Sca036	T	Gudow	2004	73	81	64.89
Sca036	N	Gudow	2004	75	82	66.89
Sca036	T	Irlbach	2004	73	50	55.0266
Sca036	N	Irlbach	2004	72	65	68.9434
Sca036	T	Morgenrot	2004	72	97	79.232
Sca036	N	Morgenrot	2004	75	92	80.342
